date,registration,ballots_cast,absentee,precinct,pct_turnout,pct_reg_returned_av,pct_turnout_voted_av
11/08/60,"404,613","348,290",n/a,n/a,86.08%,n/a,n/a
11/03/64,"389,990","331,612","18,478","313,134",85.03%,4.74%,5.57%
11/05/68,"374,335","307,012","19,498","287,514",82.02%,5.21%,6.35%
06/06/72,"368,357","234,840","16,664","218,176",63.75%,4.52%,7.10%
11/07/72,"426,338","316,803","27,793","289,010",74.31%,6.52%,8.77%
11/06/73,"337,065","202,237","12,157","190,080",60.00%,3.61%,6.01%
06/04/74,"350,380","198,508","14,139","184,369",56.66%,4.04%,7.12%
11/05/74,"369,005","228,586","15,472","213,114",61.95%,4.19%,6.77%
11/04/75,"296,505","215,559","9,392","206,167",72.70%,3.17%,4.36%
12/11/75,"302,344","200,804","10,063","190,741",66.42%,3.33%,5.01%
06/08/76,"311,254","208,884","17,200","191,684",67.11%,5.53%,8.23%
11/02/76,"345,954","252,932","21,788","231,144",73.11%,6.30%,8.61%
08/02/77,"336,046","178,367","16,745","161,622",53.08%,4.98%,9.39%
11/08/77,"339,306","175,582","13,373","162,209",51.75%,3.94%,7.62%
06/06/78,"350,856","203,931","17,972","185,959",58.12%,5.12%,8.81%
11/07/78,"380,749","217,965","20,702","197,263",57.25%,5.44%,9.50%
11/06/79,"372,061","204,869","14,473","190,396",55.06%,3.89%,7.06%
12/11/79,"378,232","196,341","17,994","178,347",51.91%,4.76%,9.16%
06/03/80,"403,382","206,366","15,170","191,196",51.16%,3.76%,7.35%
08/19/80,"404,035","140,551","20,985","119,566",34.79%,5.19%,14.93%
11/04/80,"407,982","268,070","31,057","237,013",65.71%,7.61%,11.59%
11/03/81,"395,213","99,658","10,875","88,783",25.22%,2.75%,10.91%
06/08/82,"344,483","176,381","19,735","156,646",51.20%,5.73%,11.19%
11/02/82,"377,069","238,991","27,796","211,195",63.38%,7.37%,11.63%
04/26/83,"354,104","167,267","59,294","107,973",47.24%,16.74%,35.45%
11/08/83,"371,005","170,628","29,430","141,198",45.99%,7.93%,17.25%
06/05/84,"375,799","180,741","29,728","151,013",48.10%,7.91%,16.45%
11/06/84,"424,091","298,517","44,586","253,931",70.39%,10.51%,14.94%
11/05/85,"399,422","107,920","23,373","84,547",27.02%,5.85%,21.66%
06/03/86,"369,468","146,480","21,337","125,143",39.65%,5.78%,14.57%
11/04/86,"385,847","236,863","34,808","202,055",61.39%,9.02%,14.70%
04/07/87,"280,811","111,523","30,976","80,547",39.71%,11.03%,27.78%
06/02/87,"363,356","93,010","35,121","57,889",25.60%,9.67%,37.76%
11/03/87,"378,546","193,742","37,262","156,480",51.18%,9.84%,19.23%
12/08/87,"380,852","153,720","40,320","113,400",40.36%,10.59%,26.23%
06/07/88,"383,675","185,420","28,946","156,474",48.33%,7.54%,15.61%
11/08/88,"435,536","292,097","83,551","208,546",67.07%,19.18%,28.60%
11/07/89,"405,536","181,862","37,205","144,657",44.84%,9.17%,20.46%
06/05/90,"389,552","161,989","39,963","122,026",41.58%,10.26%,24.67%
11/06/90,"409,163","236,413","54,988","181,425",57.78%,13.44%,23.26%
11/05/91,"421,919","200,875","44,785","156,090",47.61%,10.61%,22.29%
12/10/91,"425,316","215,751","71,912","143,839",50.73%,16.91%,33.33%
06/02/92,"432,838","182,577","39,109","143,468",42.18%,9.04%,21.42%
11/03/92,"477,726","329,695","74,624","255,071",69.01%,15.62%,22.63%
06/15/93,"421,635","84,786","34,655","50,131",20.11%,8.22%,40.87%
11/02/93,"425,034","158,146","44,769","113,377",37.21%,10.53%,28.31%
06/07/94,"422,776","135,495","36,931","98,564",32.05%,8.74%,27.26%
11/08/94,"450,649","249,669","74,167","175,502",55.40%,16.46%,29.71%
11/07/95,"417,883","216,735","64,718","152,017",51.86%,15.49%,29.86%
12/12/95,"425,969","198,326","67,753","130,573",46.56%,15.91%,34.16%
03/26/96,"440,254","178,165","51,522","126,643",40.47%,11.70%,28.92%
11/05/96,"481,902","298,648","75,309","223,339",61.97%,15.63%,25.22%
06/03/97,"411,230","178,948","49,792","129,156",43.52%,12.11%,27.82%
11/04/97,"413,355","125,697","38,345","87,352",30.41%,9.28%,30.51%
06/02/98,"430,794","199,157","61,345","137,812",46.23%,14.24%,30.80%
11/03/98,"448,888","250,719","66,880","183,839",55.85%,14.90%,26.68%
11/02/99,"453,151","203,674","52,227","151,447",44.95%,11.53%,25.64%
12/14/99,"467,295","228,247","73,890","154,357",48.84%,15.81%,32.37%
03/07/00,"468,198","210,229","54,274","155,955",44.90%,11.59%,25.82%
11/07/00,"486,636","324,031","82,797","241,234",49.60%,17.01%,25.55%
12/12/00,"398,234","129,629","47,959","81,670",32.55%,12.04%,37.00%
11/06/01,"452,543","134,024","37,148","96,876",29.62%,8.21%,27.72%
03/05/02,"440,016","150,249","51,580","98,669",34.15%,11.72%,34.33%
